Rarity,Name,Hero,Series,Type,ATK,HP,RCV,LC,Max Lv.,M.ATK,M.HP,M.RCV,M.LC,Limit,Leader Skill,Skill,Req. Lc,Arte,Ability 1,Ability 1 Description,Ability 2,Ability 2 Description,Ability 3,Ability 3 Description,Ability 4,Ability 4 Description,Skill Type
4,Demon King Hunter,Cress,Phantasia,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost HP of slash/thrust heroes to 1.3x,Boost triangle and square ATK to 1.2x for 2 turns,25,3 hits against one foe (83% x3),Repair 2,RCV +100,Weapon Boost 3,Boost weapon stats by 8%,Inspirit Attackers 3,May boost ATK of all heroes by 8%,,,ATK boost tile 2
4,Cardinal,Mint,Phantasia,Bash,307,558,35,10,70,1191,2350,185,10,4,Boost HP/RCV of bash/spell heroes to 1.4x,Restore 40% of HP,35,1 hit against all foes (200% x1),Forcefulness 2,Boost ATK by 5%,Armor Boost 3,Boost armor stats by 8%,Crisis Healer,Boost RCV by 50% when at 10% or less HP,,,Restore %
3,Albane-style Fighter,Cress,Phantasia,Slash,323,185,41,4,60,1195,743,205,4,4,Boost ATK of heroes on circle/triangle to 1.2x ,Change star into triangle,30,3 hits against one foe (70% x3),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Light Shield,Reduces light damage by 10%,,,,,Tile change 1
3,Witch,Arche,Phantasia,Spell,196,108,174,12,60,726,433,871,12,4,Boost HP/ATK of spell heroes to 1.2x,Boost ATK of spell to 1.4x for 1 turn,40,1 wind-type hit against one foe (200% x1),Strength 2,ATK +100,Wind Shield,Reduces wind damage by 10%,,,,,ATK boost type 1
3,Sparrow Ninja,Suzu,Phantasia,Shot,253,200,74,3,60,937,806,372,3,4,Boost ATK of heroes on triangle/square to 1.2x,Change triangle into square,30,3 fire-type hits against one foe (60% x3),Repair 2,RCV +100,Quick Drain 2,May heal 2% of damage dealt,,,,,Tile change 1
3,Cleric,Mint,Phantasia,Spell,176,121,177,12,60,653,485,886,12,4,Boost ATK of heroes on triangle/star to 1.2x,Restore 30% of HP,35,Restore 10% of HP,First Link,Boost ATK by 5% when used to start link,Vitality 3,HP +150,,,,,Restore %
3,Hunter,Chester,Phantasia,Shot,255,192,71,3,60,944,771,352,3,4,Boost ATK of heroes on square/star to 1.2x,Deal a 6x-power wind attack to all foes,45,5 hits against one foe (40% x5),Heal Plus 2,Boost RCV by 5%,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,,,,,Attack all
5,Swordian Master,Stahn,Destiny,Thrust,516,601,231,6,99,2009,2556,1217,6,4,Boost HP/RCV of thrust/spell heroes to 1.5x,Change circle & square into triangle,35,7 fire-type hits against one foe (43% x7),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Overlink 3,Increases LC maximum by 3,Repair 4,RCV +200,Weapon Boost 5,Boost weapon stats by 12%,Tile change 2
4,Winsome Killer,Leon,Destiny,Thrust,319,340,147,6,80,1236,1428,767,6,6,Boost ATK of thrust heroes to 1.6x,Change circle & star into square,45,6 dark-type hits against one foe (42% x6),Forcefulness 2,Boost ATK by 5%,Earth Shield,Reduces earth damage by 10%,Dark Shield 2,Reduces dark damage by 20%,,,Tile change 2
4,Bomb Alchemist,Philia,Destiny,Spell,292,201,248,12,70,1133,847,1297,12,4,Boost ATK of heroes on circle/star to 1.4x,Deal a 7x-power earth attack to all foes,45,5 hits against one foe (58% x5),Strength 2,ATK +100,Armor Boost 3,Boost armor stats by 8%,Fire Shield 2,Reduces fire damage by 20%,,,Attack all
4,Artemis Eyes,Chelsea,Destiny,Shot,561,490,219,3,70,1609,1649,601,3,4,Boost HP/ATK of shot heroes to 1.4x,Boost ATK of shot/spell to 1.4x for 1 turn,45,6 dark-type hits against one foe (42% x6),Link Boost,Increases starting value of link gauge by 1,Arte Plus,Increases arte trigger rate by 1%,Arte Plus 2,Increases arte trigger rate by 2%,,,ATK boost type 2
3,Peerless Warrior,Leon,Destiny,Thrust,212,226,98,6,40,784,906,486,6,4,Boost ATK of heroes on circle/square to 1.2x,Deal a 6x-power earth attack to one foe,35,6 dark-type hits agaiinst one foe (35% x6),Arte Plus,Increases arte trigger rate by 1%,Double Boost 2,Boost weapon and armor stats by 5%,,,,,Attack one
3,Shortbow Maiden,Chelsea,Destiny,Shot,245,224,68,3,60,908,901,338,3,4,Boost HP/ATK of shot heroes to 1.2x,Boost ATK of shot/spell to 1.2x for 1 turn,40,3 wind-type hits against one foe (80% x3),Inspirit Attackers,May boost ATK of all heroes by 3%,Double Boost 2,Boost weapon and armor stats by 5%,,,,,ATK boost type 2
3,Priestess,Philia,Destiny,Spell,161,144,175,12,60,595,581,876,12,4,Boost ATK of heroes on circle/star to 1.2x,Deal a 6x-power earth attack to one foe,35,1 light-type hit against one foe (240% x1),Pinch Healer,Boost RCV by 20% when at 30% or less HP,Earth Shield,Reduces earth damage by 10%,,,,,Attack one
3,Burning Flame,Lilith,Destiny,Bash,221,362,25,8,60,820,1456,127,8,4,Boost HP of thrust/bash heroes to 1.2x,"Restore 3,000 HP",30,3 hits against one foe (67% x3),Repair 2,RCV +100,Forcefulness 3,Boost ATK by 8%,,,,,Restore #
3,White-Hot Swordsman,Stahn,Destiny,Thrust,210,246,99,6,60,777,988,491,6,4,Boost HP of thrust/spell heroes to 1.2x,Change square into triangle,30,4 hits against one foe (50% x4),Lucky Healing,May heal 3% of HP,Double Boost 2,Boost weapon and armor stats by 5%,,,,,Tile change 1
3,Lens Hunter,Rutee,Destiny,Thrust,207,248,80,6,60,766,997,401,6,4,Boost ATK of thrust/spell heroes to 1.2x,"Restore 3,000 HP",30,4 water-type hits against one foe (50% x4),Quick Drain,May heal 1% of damage dealt,Heal Plus 3,Boost RCV by 8%,,,,,Restore #
5,Aurora User,Reid,Eternia,Thrust,526,584,241,6,99,2049,2485,1270,6,4,"Reduce HP of all heroes to 0.9x, boost ATK to 1.6x",Change circle and triangle into star,35,Damage and delay 1 foe by 1 turn (60% x5),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 4,ATK +200,Weapon Boost 3,Boost weapon stats by 8%,Forcefulness 5,Boost ATK by 13%,Tile change 2
